Year,Units,Value
2012,Beförderungsfälle Regionalverkehr [abs.],10849000.0
2013,Beförderungsfälle Regionalverkehr [abs.],11529000.0
2014,Beförderungsfälle Regionalverkehr [abs.],11476000.0
2015,Beförderungsfälle Regionalverkehr [abs.],11522000.0
2016,Beförderungsfälle Regionalverkehr [abs.],11605000.0
2017,Beförderungsfälle Regionalverkehr [abs.],11617000.0
2018,Beförderungsfälle Regionalverkehr [abs.],11629000.0
2019,Beförderungsfälle Regionalverkehr [abs.],11640000.0
2020,Beförderungsfälle Regionalverkehr [abs.],10193000.0
2021,Beförderungsfälle Regionalverkehr [abs.],10196000.0
2022,Beförderungsfälle Regionalverkehr [abs.],
2012,Fahrplan-km/Jahr [abs.],7189000.0
2013,Fahrplan-km/Jahr [abs.],7189000.0
2014,Fahrplan-km/Jahr [abs.],7376000.0
2015,Fahrplan-km/Jahr [abs.],7376000.0
2016,Fahrplan-km/Jahr [abs.],7469000.0
2017,Fahrplan-km/Jahr [abs.],7469000.0
2018,Fahrplan-km/Jahr [abs.],7566000.0
2019,Fahrplan-km/Jahr [abs.],8073000.0
2020,Fahrplan-km/Jahr [abs.],8073000.0
2021,Fahrplan-km/Jahr [abs.],8132000.0
2022,Fahrplan-km/Jahr [abs.],8642000.0
