Year,Nachhaltige Antriebstechniken,Value
2016,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,11
2017,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,11
2018,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,12
2019,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,17
2020,Anteil der Fahrzeuge mit nachhaltigen Antriebstechniken,20
2016,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,8
2017,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,8
2018,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,14
2019,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,19
2020,Anteil der gefahrenen Kilometer mit nachhaltigen Antriebstechniken,19
