Year,Landschaftsqualität,Value
2009,Hemerobie-Index Enzkreis,3.91
2012,Hemerobie-Index Enzkreis,4.02
2015,Hemerobie-Index Enzkreis,4.02
2018,Hemerobie-Index Enzkreis,4.04
2009,Hemerobie-Index Stadt PF,3.92
2012,Hemerobie-Index Stadt PF,3.97
2015,Hemerobie-Index Stadt PF,3.98
2018,Hemerobie-Index Stadt PF,3.98
2009,Hemerobie-Index Land BW,3.9
2012,Hemerobie-Index Land BW,4.11
2015,Hemerobie-Index Land BW,4.14
2018,Hemerobie-Index Land BW,4.15
2009,Hemerobie-Index Deutschland,4.1
2012,Hemerobie-Index Deutschland,4.1
2015,Hemerobie-Index Deutschland,4.2
2018,Hemerobie-Index Deutschland,4.15
