Year,Straftaten,Value
2013,Straftaten je 1.000 Einwohner/-innen (Enzkreis),982
2014,Straftaten je 1.000 Einwohner/-innen (Enzkreis),1041
2015,Straftaten je 1.000 Einwohner/-innen (Enzkreis),1083
2016,Straftaten je 1.000 Einwohner/-innen (Enzkreis),1103
2017,Straftaten je 1.000 Einwohner/-innen (Enzkreis),1175
2018,Straftaten je 1.000 Einwohner/-innen (Enzkreis),1227
2019,Straftaten je 1.000 Einwohner/-innen (Enzkreis),1284
2020,Straftaten je 1.000 Einwohner/-innen (Enzkreis),1281
2013,Straftaten je 1.000 Einwohner/-innen (Land BW),1178
2014,Straftaten je 1.000 Einwohner/-innen (Land BW),1250
2015,Straftaten je 1.000 Einwohner/-innen (Land BW),1295
2016,Straftaten je 1.000 Einwohner/-innen (Land BW),1335
2017,Straftaten je 1.000 Einwohner/-innen (Land BW),1417
2018,Straftaten je 1.000 Einwohner/-innen (Land BW),1475
2019,Straftaten je 1.000 Einwohner/-innen (Land BW),1537
2020,Straftaten je 1.000 Einwohner/-innen (Land BW),1541
