Year,Schule,Value
2010,Kooperationsquote Schule am Winterrain,20.9
2011,Kooperationsquote Schule am Winterrain,16.4
2012,Kooperationsquote Schule am Winterrain,17.6
2013,Kooperationsquote Schule am Winterrain,31.9
2014,Kooperationsquote Schule am Winterrain,20.2
2015,Kooperationsquote Schule am Winterrain,19.2
2016,Kooperationsquote Schule am Winterrain,29.5
2017,Kooperationsquote Schule am Winterrain,15.2
2018,Kooperationsquote Schule am Winterrain,14.8
2019,Kooperationsquote Schule am Winterrain,27.3
2020,Kooperationsquote Schule am Winterrain,25.4
2021,Kooperationsquote Schule am Winterrain,31.1
2022,Kooperationsquote Schule am Winterrain,46.8
2010,Kooperationsquote Gustav-Heinemann-Schule,24.7
2011,Kooperationsquote Gustav-Heinemann-Schule,23.5
2012,Kooperationsquote Gustav-Heinemann-Schule,28.6
2013,Kooperationsquote Gustav-Heinemann-Schule,52.0
2014,Kooperationsquote Gustav-Heinemann-Schule,41.5
2015,Kooperationsquote Gustav-Heinemann-Schule,37.4
2016,Kooperationsquote Gustav-Heinemann-Schule,63.5
2017,Kooperationsquote Gustav-Heinemann-Schule,39.9
2018,Kooperationsquote Gustav-Heinemann-Schule,30.9
2019,Kooperationsquote Gustav-Heinemann-Schule,33.3
2020,Kooperationsquote Gustav-Heinemann-Schule,40.4
2021,Kooperationsquote Gustav-Heinemann-Schule,26.8
2022,Kooperationsquote Gustav-Heinemann-Schule,28.9
