Year,Region,gruppe.beschaeftigt,Value
2006,Enzkreis,Männeranteil im Kreistag des Enzkreises,92
2007,Enzkreis,Männeranteil im Kreistag des Enzkreises,92
2008,Enzkreis,Männeranteil im Kreistag des Enzkreises,92
2009,Enzkreis,Männeranteil im Kreistag des Enzkreises,92
2010,Enzkreis,Männeranteil im Kreistag des Enzkreises,86
2011,Enzkreis,Männeranteil im Kreistag des Enzkreises,86
2012,Enzkreis,Männeranteil im Kreistag des Enzkreises,86
2013,Enzkreis,Männeranteil im Kreistag des Enzkreises,86
2014,Enzkreis,Männeranteil im Kreistag des Enzkreises,86
2015,Enzkreis,Männeranteil im Kreistag des Enzkreises,89
2016,Enzkreis,Männeranteil im Kreistag des Enzkreises,89
2017,Enzkreis,Männeranteil im Kreistag des Enzkreises,91
2018,Enzkreis,Männeranteil im Kreistag des Enzkreises,91
2019,Enzkreis,Männeranteil im Kreistag des Enzkreises,91
2020,Enzkreis,Männeranteil im Kreistag des Enzkreises,86
2021,Enzkreis,Männeranteil im Kreistag des Enzkreises,88
2022,Enzkreis,Männeranteil im Kreistag des Enzkreises,88
2006,Enzkreis,Frauenanteil im Kreistag des Enzkreises,8
2007,Enzkreis,Frauenanteil im Kreistag des Enzkreises,8
2008,Enzkreis,Frauenanteil im Kreistag des Enzkreises,8
2009,Enzkreis,Frauenanteil im Kreistag des Enzkreises,8
2010,Enzkreis,Frauenanteil im Kreistag des Enzkreises,14
2011,Enzkreis,Frauenanteil im Kreistag des Enzkreises,14
2012,Enzkreis,Frauenanteil im Kreistag des Enzkreises,14
2013,Enzkreis,Frauenanteil im Kreistag des Enzkreises,14
2014,Enzkreis,Frauenanteil im Kreistag des Enzkreises,14
2015,Enzkreis,Frauenanteil im Kreistag des Enzkreises,11
2016,Enzkreis,Frauenanteil im Kreistag des Enzkreises,11
2017,Enzkreis,Frauenanteil im Kreistag des Enzkreises,9
2018,Enzkreis,Frauenanteil im Kreistag des Enzkreises,9
2019,Enzkreis,Frauenanteil im Kreistag des Enzkreises,9
2020,Enzkreis,Frauenanteil im Kreistag des Enzkreises,14
2021,Enzkreis,Frauenanteil im Kreistag des Enzkreises,12
2022,Enzkreis,Frauenanteil im Kreistag des Enzkreises,12
