Year,Region,gruppe.beschaeftigt,Value
2010,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5047196.0
2011,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5203267.0
2012,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5550254.0
2013,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5480620.0
2014,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5174411.0
2015,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),4996817.0
2016,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5057217.0
2017,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5336747.0
2018,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5686839.0
2019,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),5800651.0
2020,Enzkreis,Liegenschaften Landratsamt (witterungsbereinigt),6073451.0
2010,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2011,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2012,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2013,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2014,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2015,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),
2016,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),61.0
2017,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),56.0
2018,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),61.0
2019,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),63.0
2020,Enzkreis,Anteil Erneuerbarer Energien (Liegenschaften Landratsamt),57.0
