Year,Bruttoinlandsprodukt,Value
2007,Bruttoinlandsprodukt - Enzkreis [€ je EW],24012
2008,Bruttoinlandsprodukt - Enzkreis [€ je EW],23802
2009,Bruttoinlandsprodukt - Enzkreis [€ je EW],21234
2010,Bruttoinlandsprodukt - Enzkreis [€ je EW],23379
2011,Bruttoinlandsprodukt - Enzkreis [€ je EW],25790
2012,Bruttoinlandsprodukt - Enzkreis [€ je EW],25845
2013,Bruttoinlandsprodukt - Enzkreis [€ je EW],25835
2014,Bruttoinlandsprodukt - Enzkreis [€ je EW],26992
2015,Bruttoinlandsprodukt - Enzkreis [€ je EW],28172
2016,Bruttoinlandsprodukt - Enzkreis [€ je EW],29042
2017,Bruttoinlandsprodukt - Enzkreis [€ je EW],30320
2018,Bruttoinlandsprodukt - Enzkreis [€ je EW],31031
2019,Bruttoinlandsprodukt - Enzkreis [€ je EW],27781
2007,Bruttoinlandsprodukt - Land BW [€ je EW],35082
2008,Bruttoinlandsprodukt - Land BW [€ je EW],35489
2009,Bruttoinlandsprodukt - Land BW [€ je EW],33085
2010,Bruttoinlandsprodukt - Land BW [€ je EW],35793
2011,Bruttoinlandsprodukt - Land BW [€ je EW],38617
2012,Bruttoinlandsprodukt - Land BW [€ je EW],39141
2013,Bruttoinlandsprodukt - Land BW [€ je EW],39813
2014,Bruttoinlandsprodukt - Land BW [€ je EW],40807
2015,Bruttoinlandsprodukt - Land BW [€ je EW],42304
2016,Bruttoinlandsprodukt - Land BW [€ je EW],43488
2017,Bruttoinlandsprodukt - Land BW [€ je EW],44918
2018,Bruttoinlandsprodukt - Land BW [€ je EW],46383
2019,Bruttoinlandsprodukt - Land BW [€ je EW],42398
