Year,Region,Beschäftigung,Value
2007,Enzkreis,Beschäftigungsquote,54.9
2008,Enzkreis,Beschäftigungsquote,56.0
2009,Enzkreis,Beschäftigungsquote,55.3
2010,Enzkreis,Beschäftigungsquote,55.6
2011,Enzkreis,Beschäftigungsquote,57.5
2012,Enzkreis,Beschäftigungsquote,58.5
2013,Enzkreis,Beschäftigungsquote,59.2
2014,Enzkreis,Beschäftigungsquote,60.0
2015,Enzkreis,Beschäftigungsquote,60.7
2016,Enzkreis,Beschäftigungsquote,61.7
2017,Enzkreis,Beschäftigungsquote,62.9
2018,Enzkreis,Beschäftigungsquote,64.2
2019,Enzkreis,Beschäftigungsquote,65.3
2020,Enzkreis,Beschäftigungsquote,65.4
2007,Land BW,Beschäftigungsquote,51.5
2008,Land BW,Beschäftigungsquote,52.7
2009,Land BW,Beschäftigungsquote,52.2
2010,Land BW,Beschäftigungsquote,52.6
2011,Land BW,Beschäftigungsquote,55.3
2012,Land BW,Beschäftigungsquote,56.3
2013,Land BW,Beschäftigungsquote,56.6
2014,Land BW,Beschäftigungsquote,57.5
2015,Land BW,Beschäftigungsquote,57.9
2016,Land BW,Beschäftigungsquote,59.1
2017,Land BW,Beschäftigungsquote,60.3
2018,Land BW,Beschäftigungsquote,61.7
2019,Land BW,Beschäftigungsquote,62.8
2020,Land BW,Beschäftigungsquote,62.8
2007,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,39.0
2008,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,40.8
2009,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,42.4
2010,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,42.3
2011,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,44.6
2012,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,46.5
2013,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,49.1
2014,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,50.9
2015,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,52.4
2016,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,54.1
2017,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,55.8
2018,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,57.5
2019,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,58.4
2020,Enzkreis,Beschäftigungsquote 55 - 64-Jährige,59.6
2007,Land BW,Beschäftigungsquote 55 - 64-Jährige,37.2
2008,Land BW,Beschäftigungsquote 55 - 64-Jährige,38.7
2009,Land BW,Beschäftigungsquote 55 - 64-Jährige,39.9
2010,Land BW,Beschäftigungsquote 55 - 64-Jährige,40.4
2011,Land BW,Beschäftigungsquote 55 - 64-Jährige,43.0
2012,Land BW,Beschäftigungsquote 55 - 64-Jährige,44.7
2013,Land BW,Beschäftigungsquote 55 - 64-Jährige,46.4
2014,Land BW,Beschäftigungsquote 55 - 64-Jährige,48.5
2015,Land BW,Beschäftigungsquote 55 - 64-Jährige,49.7
2016,Land BW,Beschäftigungsquote 55 - 64-Jährige,51.3
2017,Land BW,Beschäftigungsquote 55 - 64-Jährige,53.1
2018,Land BW,Beschäftigungsquote 55 - 64-Jährige,54.8
2019,Land BW,Beschäftigungsquote 55 - 64-Jährige,56.3
2020,Land BW,Beschäftigungsquote 55 - 64-Jährige,57.2
