Year,Langzeitarbeitslosigkeit,Value
2010,Langzeitarbeitslosenquote - Enzkreis [%],1.5
2011,Langzeitarbeitslosenquote - Enzkreis [%],1.2
2012,Langzeitarbeitslosenquote - Enzkreis [%],1.0
2013,Langzeitarbeitslosenquote - Enzkreis [%],1.0
2014,Langzeitarbeitslosenquote - Enzkreis [%],1.0
2015,Langzeitarbeitslosenquote - Enzkreis [%],1.0
2016,Langzeitarbeitslosenquote - Enzkreis [%],1.0
2017,Langzeitarbeitslosenquote - Enzkreis [%],0.9
2018,Langzeitarbeitslosenquote - Enzkreis [%],0.8
2019,Langzeitarbeitslosenquote - Enzkreis [%],0.6
2020,Langzeitarbeitslosenquote - Enzkreis [%],0.8
2010,Langzeitarbeitslosenquote - Land BW [%],2.0
2011,Langzeitarbeitslosenquote - Land BW [%],1.8
2012,Langzeitarbeitslosenquote - Land BW [%],1.6
2013,Langzeitarbeitslosenquote - Land BW [%],1.7
2014,Langzeitarbeitslosenquote - Land BW [%],1.7
2015,Langzeitarbeitslosenquote - Land BW [%],1.6
2016,Langzeitarbeitslosenquote - Land BW [%],1.5
2017,Langzeitarbeitslosenquote - Land BW [%],1.4
2018,Langzeitarbeitslosenquote - Land BW [%],1.2
2019,Langzeitarbeitslosenquote - Land BW [%],1.0
2020,Langzeitarbeitslosenquote - Land BW [%],1.3
