Year,Recyclingpapier,Value
2007,Anteil in der Kreisverwaltung,5.0
2008,Anteil in der Kreisverwaltung,5.0
2009,Anteil in der Kreisverwaltung,5.0
2010,Anteil in der Kreisverwaltung,5.0
2011,Anteil in der Kreisverwaltung,5.0
2012,Anteil in der Kreisverwaltung,5.0
2013,Anteil in der Kreisverwaltung,5.0
2014,Anteil in der Kreisverwaltung,5.0
2015,Anteil in der Kreisverwaltung,5.0
2016,Anteil in der Kreisverwaltung,5.0
2017,Anteil in der Kreisverwaltung,5.0
2018,Anteil in der Kreisverwaltung,5.0
2019,Anteil in der Kreisverwaltung,5.0
2020,Anteil in der Kreisverwaltung,5.0
2021,Anteil in der Kreisverwaltung,73.29
2022,Anteil in der Kreisverwaltung,97.57
