Year,Aufwendungen.Verschuldung,Value
2012,Ordentliche Aufwendungen (Enzkreis),154919
2013,Ordentliche Aufwendungen (Enzkreis),166725
2014,Ordentliche Aufwendungen (Enzkreis),177426
2015,Ordentliche Aufwendungen (Enzkreis),186350
2016,Ordentliche Aufwendungen (Enzkreis),218622
2017,Ordentliche Aufwendungen (Enzkreis),218609
2018,Ordentliche Aufwendungen (Enzkreis),229988
2019,Ordentliche Aufwendungen (Enzkreis),234352
2020,Ordentliche Aufwendungen (Enzkreis),245917
2021,Ordentliche Aufwendungen (Enzkreis),259837
2012,Verschuldung im Kernhaushalt (Enzkreis),27690
2013,Verschuldung im Kernhaushalt (Enzkreis),31087
2014,Verschuldung im Kernhaushalt (Enzkreis),27941
2015,Verschuldung im Kernhaushalt (Enzkreis),31191
2016,Verschuldung im Kernhaushalt (Enzkreis),38983
2017,Verschuldung im Kernhaushalt (Enzkreis),34113
2018,Verschuldung im Kernhaushalt (Enzkreis),29263
2019,Verschuldung im Kernhaushalt (Enzkreis),27209
2020,Verschuldung im Kernhaushalt (Enzkreis),21877
2021,Verschuldung im Kernhaushalt (Enzkreis),17907
