Year,Units,Beschäftigung.Enzkreis,Value
2007,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),31057.0
2008,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),31659.0
2009,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),29856.0
2010,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),29574.0
2011,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),31035.0
2012,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),31844.0
2013,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),32052.0
2014,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),32727.0
2015,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),33304.0
2016,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),34464.0
2017,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),35573.0
2018,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),36660.0
2019,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),37451.0
2020,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),37266.0
2021,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Männer (abs.),37023.0
2007,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21007.0
2008,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21611.0
2009,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21047.0
2010,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21020.0
2011,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),21841.0
2012,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),22245.0
2013,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),22654.0
2014,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),23169.0
2015,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),23943.0
2016,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),24573.0
2017,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),25272.0
2018,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),26038.0
2019,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),26599.0
2020,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),26516.0
2021,Sozialversicherungspflichtige Beschäftigung (abs.),Sozialversicherungspflichtig beschäftigte Frauen (abs.),26421.0
2007,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),946.0
2008,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),955.0
2009,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),816.0
2010,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),992.0
2011,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1435.0
2012,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1488.0
2013,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1485.0
2014,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1627.0
2015,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1772.0
2016,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1903.0
2017,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),1972.0
2018,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),2060.0
2019,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),2176.0
2020,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),2209.0
2021,Sozialversicherungspflichtige Beschäftigung (abs.),Männer in Teilzeit (abs.),2469.0
2007,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),6869.0
2008,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),7077.0
2009,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),7182.0
2010,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),7497.0
2011,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),9469.0
2012,Sozialversicherungspflichtige Beschäftigung (abs.),Frauen in Teilzeit (abs.),9907.0
