Year,Geschlechterverhältnis,Value
2006,Männeranteil im Kreistag des Enzkreises,92
2007,Männeranteil im Kreistag des Enzkreises,92
2008,Männeranteil im Kreistag des Enzkreises,92
2009,Männeranteil im Kreistag des Enzkreises,92
2010,Männeranteil im Kreistag des Enzkreises,86
2011,Männeranteil im Kreistag des Enzkreises,86
2012,Männeranteil im Kreistag des Enzkreises,86
2013,Männeranteil im Kreistag des Enzkreises,86
2014,Männeranteil im Kreistag des Enzkreises,86
2015,Männeranteil im Kreistag des Enzkreises,89
2016,Männeranteil im Kreistag des Enzkreises,89
2017,Männeranteil im Kreistag des Enzkreises,91
2018,Männeranteil im Kreistag des Enzkreises,91
2019,Männeranteil im Kreistag des Enzkreises,91
2020,Männeranteil im Kreistag des Enzkreises,86
2021,Männeranteil im Kreistag des Enzkreises,88
2022,Männeranteil im Kreistag des Enzkreises,88
2006,Frauenanteil im Kreistag des Enzkreises,8
2007,Frauenanteil im Kreistag des Enzkreises,8
2008,Frauenanteil im Kreistag des Enzkreises,8
2009,Frauenanteil im Kreistag des Enzkreises,8
2010,Frauenanteil im Kreistag des Enzkreises,14
2011,Frauenanteil im Kreistag des Enzkreises,14
2012,Frauenanteil im Kreistag des Enzkreises,14
2013,Frauenanteil im Kreistag des Enzkreises,14
2014,Frauenanteil im Kreistag des Enzkreises,14
2015,Frauenanteil im Kreistag des Enzkreises,11
2016,Frauenanteil im Kreistag des Enzkreises,11
2017,Frauenanteil im Kreistag des Enzkreises,9
2018,Frauenanteil im Kreistag des Enzkreises,9
2019,Frauenanteil im Kreistag des Enzkreises,9
2020,Frauenanteil im Kreistag des Enzkreises,14
2021,Frauenanteil im Kreistag des Enzkreises,12
2022,Frauenanteil im Kreistag des Enzkreises,12
