Year,Region,Einkommensklassen,Value
2007,Enzkreis,geringes HH-Nettoeinkommen,34.9
2008,Enzkreis,geringes HH-Nettoeinkommen,34.1
2009,Enzkreis,geringes HH-Nettoeinkommen,33.7
2010,Enzkreis,geringes HH-Nettoeinkommen,33.8
2011,Enzkreis,geringes HH-Nettoeinkommen,33.9
2012,Enzkreis,geringes HH-Nettoeinkommen,34.2
2013,Enzkreis,geringes HH-Nettoeinkommen,34.4
2014,Enzkreis,geringes HH-Nettoeinkommen,34.3
2015,Enzkreis,geringes HH-Nettoeinkommen,34.1
2016,Enzkreis,geringes HH-Nettoeinkommen,33.7
2017,Enzkreis,geringes HH-Nettoeinkommen,33.0
2018,Enzkreis,geringes HH-Nettoeinkommen,32.1
2019,Enzkreis,geringes HH-Nettoeinkommen,31.2
2007,Land BW,geringes HH-Nettoeinkommen,42.4
2008,Land BW,geringes HH-Nettoeinkommen,41.7
2009,Land BW,geringes HH-Nettoeinkommen,41.4
2010,Land BW,geringes HH-Nettoeinkommen,41.5
2011,Land BW,geringes HH-Nettoeinkommen,41.5
2012,Land BW,geringes HH-Nettoeinkommen,41.9
2013,Land BW,geringes HH-Nettoeinkommen,42.1
2014,Land BW,geringes HH-Nettoeinkommen,42.0
2015,Land BW,geringes HH-Nettoeinkommen,41.8
2016,Land BW,geringes HH-Nettoeinkommen,41.3
2017,Land BW,geringes HH-Nettoeinkommen,40.6
2018,Land BW,geringes HH-Nettoeinkommen,39.7
2019,Land BW,geringes HH-Nettoeinkommen,38.7
2007,Enzkreis,mittleres HH-Nettoeinkommen,37.6
2008,Enzkreis,mittleres HH-Nettoeinkommen,37.7
2009,Enzkreis,mittleres HH-Nettoeinkommen,37.9
2010,Enzkreis,mittleres HH-Nettoeinkommen,38.1
2011,Enzkreis,mittleres HH-Nettoeinkommen,38.1
2012,Enzkreis,mittleres HH-Nettoeinkommen,37.7
2013,Enzkreis,mittleres HH-Nettoeinkommen,37.5
2014,Enzkreis,mittleres HH-Nettoeinkommen,37.4
2015,Enzkreis,mittleres HH-Nettoeinkommen,37.3
2016,Enzkreis,mittleres HH-Nettoeinkommen,37.4
2017,Enzkreis,mittleres HH-Nettoeinkommen,37.6
2018,Enzkreis,mittleres HH-Nettoeinkommen,37.9
2019,Enzkreis,mittleres HH-Nettoeinkommen,38.2
2007,Land BW,mittleres HH-Nettoeinkommen,35.8
2008,Land BW,mittleres HH-Nettoeinkommen,35.8
2009,Land BW,mittleres HH-Nettoeinkommen,36.0
2010,Land BW,mittleres HH-Nettoeinkommen,36.1
2011,Land BW,mittleres HH-Nettoeinkommen,36.1
2012,Land BW,mittleres HH-Nettoeinkommen,35.7
2013,Land BW,mittleres HH-Nettoeinkommen,35.4
2014,Land BW,mittleres HH-Nettoeinkommen,35.4
2015,Land BW,mittleres HH-Nettoeinkommen,35.3
2016,Land BW,mittleres HH-Nettoeinkommen,35.5
2017,Land BW,mittleres HH-Nettoeinkommen,35.8
2018,Land BW,mittleres HH-Nettoeinkommen,36.2
2019,Land BW,mittleres HH-Nettoeinkommen,36.6
2007,Enzkreis,hohes HH-Nettoeinkommen,27.4
2008,Enzkreis,hohes HH-Nettoeinkommen,28.2
2009,Enzkreis,hohes HH-Nettoeinkommen,28.4
2010,Enzkreis,hohes HH-Nettoeinkommen,28.0
2011,Enzkreis,hohes HH-Nettoeinkommen,28.0
2012,Enzkreis,hohes HH-Nettoeinkommen,28.0
2013,Enzkreis,hohes HH-Nettoeinkommen,28.1
2014,Enzkreis,hohes HH-Nettoeinkommen,28.3
2015,Enzkreis,hohes HH-Nettoeinkommen,28.6
2016,Enzkreis,hohes HH-Nettoeinkommen,29.0
2017,Enzkreis,hohes HH-Nettoeinkommen,29.4
2018,Enzkreis,hohes HH-Nettoeinkommen,30.0
2019,Enzkreis,hohes HH-Nettoeinkommen,30.6
2007,Land BW,hohes HH-Nettoeinkommen,21.8
2008,Land BW,hohes HH-Nettoeinkommen,22.5
2009,Land BW,hohes HH-Nettoeinkommen,22.6
2010,Land BW,hohes HH-Nettoeinkommen,22.3
2011,Land BW,hohes HH-Nettoeinkommen,22.4
2012,Land BW,hohes HH-Nettoeinkommen,22.4
2013,Land BW,hohes HH-Nettoeinkommen,22.4
2014,Land BW,hohes HH-Nettoeinkommen,22.6
2015,Land BW,hohes HH-Nettoeinkommen,22.9
2016,Land BW,hohes HH-Nettoeinkommen,23.2
2017,Land BW,hohes HH-Nettoeinkommen,23.7
2018,Land BW,hohes HH-Nettoeinkommen,24.2
2019,Land BW,hohes HH-Nettoeinkommen,24.7
