Year,Units,Abfallart,Abfallaufkommen,Value
2010,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,588.0
2011,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,592.0
2012,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,603.0
2013,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,587.0
2014,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,591.0
2015,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,590.0
2016,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,645.0
2017,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,634.0
2018,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,659.0
2019,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,610.0
2020,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,616.0
2021,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Enzkreis,601.0
2010,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,475.0
2011,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,497.0
2012,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,492.0
2013,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,486.0
2014,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,501.0
2015,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,492.0
2016,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,494.0
2017,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,490.0
2018,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,485.0
2019,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,487.0
2020,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,495.0
2021,Kommunales Abfallaufkommen (gesamt),,Abfallaufkommen [kg/EW] - Land BW,496.0
2010,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,135.9
2011,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,147.2
2012,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,147.5
2013,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,147.4
2014,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,142.0
2015,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,146.7
2016,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,148.1
2017,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,141.0
2018,Aufkommen je Abfallstrom [kg/EW],Haus- und Sperrmüll,,148.9
