Year,Steuerpotenzial,Value
2013,Realisiertes Steuerpotenzial je Einwohner - Enzkreis,982
2014,Realisiertes Steuerpotenzial je Einwohner - Enzkreis,1041
2015,Realisiertes Steuerpotenzial je Einwohner - Enzkreis,1083
2016,Realisiertes Steuerpotenzial je Einwohner - Enzkreis,1103
2017,Realisiertes Steuerpotenzial je Einwohner - Enzkreis,1175
2018,Realisiertes Steuerpotenzial je Einwohner - Enzkreis,1227
2019,Realisiertes Steuerpotenzial je Einwohner - Enzkreis,1284
2020,Realisiertes Steuerpotenzial je Einwohner - Enzkreis,1281
2013,Realisiertes Steuerpotenzial je Einwohner - Land BW,1178
2014,Realisiertes Steuerpotenzial je Einwohner - Land BW,1250
2015,Realisiertes Steuerpotenzial je Einwohner - Land BW,1295
2016,Realisiertes Steuerpotenzial je Einwohner - Land BW,1335
2017,Realisiertes Steuerpotenzial je Einwohner - Land BW,1417
2018,Realisiertes Steuerpotenzial je Einwohner - Land BW,1475
2019,Realisiertes Steuerpotenzial je Einwohner - Land BW,1537
2020,Realisiertes Steuerpotenzial je Einwohner - Land BW,1541
