Year,Region,gruppe.gewicht,Value
2010,Enzkreis,Untergewicht [%],12.7
2011,Enzkreis,Untergewicht [%],12.6
2012,Enzkreis,Untergewicht [%],11.4
2013,Enzkreis,Untergewicht [%],12.3
2014,Enzkreis,Untergewicht [%],11.9
2015,Enzkreis,Untergewicht [%],8.9
2016,Enzkreis,Untergewicht [%],9.7
2017,Enzkreis,Untergewicht [%],10.5
2018,Enzkreis,Untergewicht [%],10.2
2019,Enzkreis,Untergewicht [%],11.1
2020,Enzkreis,Untergewicht [%],11.2
2010,Enzkreis,Normalgewicht [%],80.3
2011,Enzkreis,Normalgewicht [%],81.0
2012,Enzkreis,Normalgewicht [%],81.8
2013,Enzkreis,Normalgewicht [%],80.7
2014,Enzkreis,Normalgewicht [%],81.0
2015,Enzkreis,Normalgewicht [%],83.2
2016,Enzkreis,Normalgewicht [%],82.1
2017,Enzkreis,Normalgewicht [%],83.2
2018,Enzkreis,Normalgewicht [%],82.5
2019,Enzkreis,Normalgewicht [%],81.1
2020,Enzkreis,Normalgewicht [%],79.4
2010,Enzkreis,Übergewicht [%],7.0
2011,Enzkreis,Übergewicht [%],6.4
2012,Enzkreis,Übergewicht [%],6.8
2013,Enzkreis,Übergewicht [%],7.0
2014,Enzkreis,Übergewicht [%],7.1
2015,Enzkreis,Übergewicht [%],7.9
2016,Enzkreis,Übergewicht [%],8.2
2017,Enzkreis,Übergewicht [%],6.3
2018,Enzkreis,Übergewicht [%],7.3
2019,Enzkreis,Übergewicht [%],7.8
2020,Enzkreis,Übergewicht [%],9.4
