Year,Units,Region,gruppe.betreuung,Value
2013,Betreuungsquote - Anteil in %,Enzkreis,,26.26
2014,Betreuungsquote - Anteil in %,Enzkreis,,26.06
2015,Betreuungsquote - Anteil in %,Enzkreis,,24.46
2016,Betreuungsquote - Anteil in %,Enzkreis,,23.62
2017,Betreuungsquote - Anteil in %,Enzkreis,,25.09
2018,Betreuungsquote - Anteil in %,Enzkreis,,26.19
2019,Betreuungsquote - Anteil in %,Enzkreis,,26.95
2020,Betreuungsquote - Anteil in %,Enzkreis,,26.95
2013,Betreuungsquote - Anteil in %,Land BW,,21.0
2014,Betreuungsquote - Anteil in %,Land BW,,21.0
2015,Betreuungsquote - Anteil in %,Land BW,,23.0
2016,Betreuungsquote - Anteil in %,Land BW,,23.0
2017,Betreuungsquote - Anteil in %,Land BW,,24.0
2018,Betreuungsquote - Anteil in %,Land BW,,24.0
2019,Betreuungsquote - Anteil in %,Land BW,,24.0
2020,Betreuungsquote - Anteil in %,Land BW,,24.0
2013,Betreuungsumfang - Anteil in %,Enzkreis,bis 25 h in Betreuung,19.7
2014,Betreuungsumfang - Anteil in %,Enzkreis,bis 25 h in Betreuung,17.8
2015,Betreuungsumfang - Anteil in %,Enzkreis,bis 25 h in Betreuung,16.0
2016,Betreuungsumfang - Anteil in %,Enzkreis,bis 25 h in Betreuung,13.4
2017,Betreuungsumfang - Anteil in %,Enzkreis,bis 25 h in Betreuung,13.5
2018,Betreuungsumfang - Anteil in %,Enzkreis,bis 25 h in Betreuung,12.5
2019,Betreuungsumfang - Anteil in %,Enzkreis,bis 25 h in Betreuung,11.3
2020,Betreuungsumfang - Anteil in %,Enzkreis,bis 25 h in Betreuung,11.6
2013,Betreuungsumfang - Anteil in %,Land BW,bis 25 h in Betreuung,20.4
2014,Betreuungsumfang - Anteil in %,Land BW,bis 25 h in Betreuung,17.3
2015,Betreuungsumfang - Anteil in %,Land BW,bis 25 h in Betreuung,15.3
2016,Betreuungsumfang - Anteil in %,Land BW,bis 25 h in Betreuung,14.3
2017,Betreuungsumfang - Anteil in %,Land BW,bis 25 h in Betreuung,14.1
2018,Betreuungsumfang - Anteil in %,Land BW,bis 25 h in Betreuung,13.5
2019,Betreuungsumfang - Anteil in %,Land BW,bis 25 h in Betreuung,13.0
2020,Betreuungsumfang - Anteil in %,Land BW,bis 25 h in Betreuung,12.5
2013,Betreuungsumfang - Anteil in %,Enzkreis,25 bis 35 h in Betreuung,64.9
2014,Betreuungsumfang - Anteil in %,Enzkreis,25 bis 35 h in Betreuung,68.0
2015,Betreuungsumfang - Anteil in %,Enzkreis,25 bis 35 h in Betreuung,69.7
2016,Betreuungsumfang - Anteil in %,Enzkreis,25 bis 35 h in Betreuung,70.5
2017,Betreuungsumfang - Anteil in %,Enzkreis,25 bis 35 h in Betreuung,71.0
2018,Betreuungsumfang - Anteil in %,Enzkreis,25 bis 35 h in Betreuung,70.6
2019,Betreuungsumfang - Anteil in %,Enzkreis,25 bis 35 h in Betreuung,71.1
2020,Betreuungsumfang - Anteil in %,Enzkreis,25 bis 35 h in Betreuung,74.0
2013,Betreuungsumfang - Anteil in %,Land BW,25 bis 35 h in Betreuung,47.6
2014,Betreuungsumfang - Anteil in %,Land BW,25 bis 35 h in Betreuung,48.5
2015,Betreuungsumfang - Anteil in %,Land BW,25 bis 35 h in Betreuung,47.8
2016,Betreuungsumfang - Anteil in %,Land BW,25 bis 35 h in Betreuung,47.3
2017,Betreuungsumfang - Anteil in %,Land BW,25 bis 35 h in Betreuung,48.2
2018,Betreuungsumfang - Anteil in %,Land BW,25 bis 35 h in Betreuung,48.7
2019,Betreuungsumfang - Anteil in %,Land BW,25 bis 35 h in Betreuung,48.8
2020,Betreuungsumfang - Anteil in %,Land BW,25 bis 35 h in Betreuung,49.5
2013,Betreuungsumfang - Anteil in %,Enzkreis,mehr als 35 h Betreuung,15.4
2014,Betreuungsumfang - Anteil in %,Enzkreis,mehr als 35 h Betreuung,14.2
2015,Betreuungsumfang - Anteil in %,Enzkreis,mehr als 35 h Betreuung,14.3
2016,Betreuungsumfang - Anteil in %,Enzkreis,mehr als 35 h Betreuung,16.1
2017,Betreuungsumfang - Anteil in %,Enzkreis,mehr als 35 h Betreuung,15.5
2018,Betreuungsumfang - Anteil in %,Enzkreis,mehr als 35 h Betreuung,16.9
2019,Betreuungsumfang - Anteil in %,Enzkreis,mehr als 35 h Betreuung,17.6
2020,Betreuungsumfang - Anteil in %,Enzkreis,mehr als 35 h Betreuung,14.4
2013,Betreuungsumfang - Anteil in %,Land BW,mehr als 35 h Betreuung,32.1
2014,Betreuungsumfang - Anteil in %,Land BW,mehr als 35 h Betreuung,34.2
2015,Betreuungsumfang - Anteil in %,Land BW,mehr als 35 h Betreuung,36.9
2016,Betreuungsumfang - Anteil in %,Land BW,mehr als 35 h Betreuung,38.4
2017,Betreuungsumfang - Anteil in %,Land BW,mehr als 35 h Betreuung,37.7
2018,Betreuungsumfang - Anteil in %,Land BW,mehr als 35 h Betreuung,37.8
2019,Betreuungsumfang - Anteil in %,Land BW,mehr als 35 h Betreuung,38.2
2020,Betreuungsumfang - Anteil in %,Land BW,mehr als 35 h Betreuung,38.0
