Year,Region,gruppe.beschaeftigt,Value
2007,Enzkreis,Frauen,56
2008,Enzkreis,Frauen,55
2009,Enzkreis,Frauen,47
2010,Enzkreis,Frauen,47
2011,Enzkreis,Frauen,49
2012,Enzkreis,Frauen,49
2013,Enzkreis,Frauen,48
2014,Enzkreis,Frauen,49
2015,Enzkreis,Frauen,48
2016,Enzkreis,Frauen,46
2017,Enzkreis,Frauen,47
2018,Enzkreis,Frauen,47
2019,Enzkreis,Frauen,46
2007,Enzkreis,Männer,44
2008,Enzkreis,Männer,45
2009,Enzkreis,Männer,54
2010,Enzkreis,Männer,53
2011,Enzkreis,Männer,51
2012,Enzkreis,Männer,51
2013,Enzkreis,Männer,52
2014,Enzkreis,Männer,51
2015,Enzkreis,Männer,52
2016,Enzkreis,Männer,54
2017,Enzkreis,Männer,53
2018,Enzkreis,Männer,53
2019,Enzkreis,Männer,54
2007,Enzkreis,Index,128
2008,Enzkreis,Index,121
2009,Enzkreis,Index,87
2010,Enzkreis,Index,89
2011,Enzkreis,Index,95
2012,Enzkreis,Index,97
2013,Enzkreis,Index,92
2014,Enzkreis,Index,96
2015,Enzkreis,Index,94
2016,Enzkreis,Index,85
2017,Enzkreis,Index,89
2018,Enzkreis,Index,89
2019,Enzkreis,Index,84
