Year,Straftaten,Value
2013,Straftaten je 1.000 Einwohner/-innen (Enzkreis),31
2014,Straftaten je 1.000 Einwohner/-innen (Enzkreis),31
2015,Straftaten je 1.000 Einwohner/-innen (Enzkreis),30
2016,Straftaten je 1.000 Einwohner/-innen (Enzkreis),30
2017,Straftaten je 1.000 Einwohner/-innen (Enzkreis),27
2018,Straftaten je 1.000 Einwohner/-innen (Enzkreis),27
2019,Straftaten je 1.000 Einwohner/-innen (Enzkreis),25
2020,Straftaten je 1.000 Einwohner/-innen (Enzkreis),27
2021,Straftaten je 1.000 Einwohner/-innen (Enzkreis),25
2022,Straftaten je 1.000 Einwohner/-innen (Enzkreis),27
2013,Straftaten je 1.000 Einwohner/-innen (Land BW),54
2014,Straftaten je 1.000 Einwohner/-innen (Land BW),56
2015,Straftaten je 1.000 Einwohner/-innen (Land BW),57
2016,Straftaten je 1.000 Einwohner/-innen (Land BW),55
2017,Straftaten je 1.000 Einwohner/-innen (Land BW),53
2018,Straftaten je 1.000 Einwohner/-innen (Land BW),52
2019,Straftaten je 1.000 Einwohner/-innen (Land BW),52
2020,Straftaten je 1.000 Einwohner/-innen (Land BW),49
2021,Straftaten je 1.000 Einwohner/-innen (Land BW),44
2022,Straftaten je 1.000 Einwohner/-innen (Land BW),49
